Name,ActivePlayers,As of,Business model,Released,Publisher,Ref.
CrossFire,1000000000,February 2020,Free-to-play,2007-05-03,Smilegate / Tencent,[1]
Dungeon Fighter Online ( DFO ),700000000,May 2020,Free-to-play,2005-08-01,Nexon / Tencent,[2]
PlayerUnknown's Battlegrounds ( PUBG ),636600000,December 2019,Pay-to-play /free-to-play,2017-12-20,Krafton,[b]
Minecraft,600000000,November 2020,Pay-to-play/free-to-play,2011-11-18,Mojang / NetEase ,[5]
Pac-Man Doodle,505000000,May 2010,Free-to-play,2010-05-21,Bandai Namco / Google,[6] [7]
QQ Speed,500000000,January 2020,Free-to-play,2008-01-23,Tencent,[9]
Candy Crush Saga,500000000,June 2014,Free-to-play,2012-04-12,King,[10]
Among Us,500000000,November 2020,Free-to-play/pay-to-play [f],2018-06-15,Innersloth,[11]
Microsoft Solitaire,400000000,July 2015,Free-to-play,1990-05-22,Microsoft,[12]
Mini World,400000000,April 2020,Free-to-play,2015-12-26,Miniwan,[13]
Crazyracing Kartrider,380000000,May 2020,Free-to-play,2004-06-01,Nexon,[2]
Fortnite,350000000,May 2020,Free-to-play,2017-09-26,Epic Games,[14]
Fantasy Westward Journey,310000000,April 2015,Free-to-play,2001-12-01,NetEase,[15]
RuneScape,280000000,April 2020,Subscription /free-to-play,2001-01-04,Jagex,[16]
Rules of Survival,230000000,October 2018,Free-to-play,2017-11-17,NetEase,[17]
Dragon Nest,200000000,March 2013,Free-to-play,2010-03-01,Nexon,[18]
MapleStory,180000000,May 2020,Free-to-play,2003-04-29,Nexon,[2]
Tetris,177000000,September 2008,Pay-to-play/free-to-play,1984-06-06,Various,[19]
Roblox,164000000,August 2020,Free-to-play,2006-08-27,Roblox Corporation,[20]
Animal Jam,160000000,October 2017,Free-to-play,2010-09-01,Wildworks,[21]
World of Tanks,160000000,April 2020,Free-to-play,2010-08-12,Wargaming,[22]
The Legend of Mir 3,120000000,February 2012,Subscription,2004-10-01,WeMade Entertainment,[23]
League of Legends,111000000,August 2018,Free-to-play,2009-10-27,Riot Games,[24]
Honor of Kings,100000000,November 2020,Free-to-play,2015-11-26,Tencent,[25]
World of Warcraft,100000000,January 2014,Subscription/pay-to-play [g],2004-11-23,Blizzard Entertainment,[26]
CityVille,100000000,October 2011,Free-to-play,2010-12-02,Zynga,[27]
Happy Farm,100000000,August 2013,Free-to-play,2008-11-01,5 Minutes,[28]
Scions of Fate,100000000,April 2018,Free-to-play,2004-11-25,KRG Soft,[29]
The Sims Social,100000000,October 2011,Free-to-play,2011-08-09,Electronic Arts,[27]
Zhengtu,100000000,April 2018,Free-to-play,2007-01-01,Zhengtu Network,[30]
Microsoft Solitaire Collection,100000000,August 2016,Free-to-play,2015-07-29,Microsoft,[31]
Hearthstone,100000000,November 2018,Free-to-play,2014-03-11,Blizzard Entertainment,[32]
Call of Duty: Warzone,85000000,December 2020,Free-to-play,2020-03-20,Activision Blizzard,[33]
FarmVille,83000000,March 2010,Free-to-play,2009-06-19,Zynga,[34]
Westward Journey Online II,83000000,November 2006,Free-to-play,2001-01-01,NetEase,[35]
Ragnarok Online,80000000,April 2018,Subscription [i],2002-08-31,Gravity,[23]
Moshi Monsters,80000000,July 2014,Free-to-play,2008-04-16,Mind Candy,[36]
Yu-Gi-Oh! Duel Links,80000000,November 2018,Free-to-play,2016-11-17,Konami,[37]
Dragon Oath,75000000,February 2010,Free-to-play,2007-01-01,KRG Soft,[38]
Rocket League,75000000,"July 7, 2020",Free-to-play [j],2015-07-07,Psyonix,[39]
Grand Theft Auto V,71000000,December 2018,Pay-to-play,2013-10-01,Rockstar Games,[40]
Apex Legends,70000000,October 2019,Free-to-play,2019-02-04,Electronic Arts,[41]
Dofus,62000000,April 2018,Subscription [i],2004-09-01,Ankama,[23]
Flyff,60000000,April 2018,Free-to-play,2004-08-16,Gala Lab,[42]
Adopt Me!,50000000,July 2020,Free-to-play,2017-07-14,DreamCraft,[43]
Overwatch,50000000,November 2019,Pay-to-play,2016-05-24,Blizzard Entertainment,[44]
Lineage,50000000,March 2007,Subscription,1998-09-03,NCSoft,[45]
Perfect World,50000000,April 2018,Free-to-play,2005-07-01,Beijing Perfect World,[23]
Team Fortress 2,50000000,July 2018,Free-to-play,2007-10-10,Valve,[4]
Tom Clancy's Rainbow Six Siege,50000000,September 2019,Pay-to-play,2015-12-01,Ubisoft,[46]
Warframe,50000000,March 2019,Free-to-play,2013-03-25,Digital Extremes,[47]
Counter-Strike: Global Offensive,46000000,July 2018,Free-to-play [m],2012-08-21,Valve,[4]
FarmVille 2,43000000,December 2012,Free-to-play,2012-09-01,Zynga,[48]
Drakensang Online,35000000,April 2018,Free-to-play,2011-08-01,Bigpoint,[30]
Teamfight Tactics,33000000,September 2019,Free-to-play,2019-06-26,Riot Games,[49]
Evony,33000000,October 2016,Free-to-play,2009-05-06,Evony LLC,[50]
FIFA 18,32500000,December 2018,Pay-to-play,2017-09-29,EA Sports,[51]
Pac-Man,30000000,1982,Pay-to-play,1980-05-21,Namco,[52]
Black Desert Online,30000000,January 2020,Pay-to-play,2015-07-14,Kakao Games,[53]
FIFA 17,30000000,December 2018,Pay-to-play,2016-09-27,EA Sports,[51]
FIFA 16,28300000,December 2018,Pay-to-play,2015-09-22,EA Sports,[51]
GetAmped,26000000,October 2008,Free-to-play,2002-04-26,CyberStep,[54]
Metal Slug Defense,29000000,February 2016,Free-to-play,2014-05-01,SNK,[55]
TERA,28000000,2018,Free-to-play [o],2011-01-25,Bluehole,[56]
Unturned,27000000,July 2018,Free-to-play,2017-07-07,Smartly Dressed Games,[4]
Street Fighter II,25000000,1994,Pay-to-play,1991-02-06,Capcom,[57]
Call of Duty: WWII,24900000,December 2018,Pay-to-play,2017-11-03,Activision,[58]
Left 4 Dead 2,23000000,July 2018,Pay-to-play,2009-11-17,Valve,[4]
Sudden Attack,23000000,August 2020,Free-to-play,2005-04-11,Nexon,[59]
Nexus: The Kingdom of the Winds,21000000,August 2020,Free-to-play,1996-04-05,Nexon,[59]
Final Fantasy XIV,20000000,July 2020,Subscription,2013-08-27,Square Enix,[60]
Mabinogi,20000000,August 2020,Free-to-play,2004-06-22,Nexon,[59]
DC Universe Online,20000000,May 2015,Free-to-play,2011-01-11,Daybreak Game Company,[61]
Shadowverse,20000000,October 2018,Free-to-play,2016-06-17,Cygames / NetEase,[62]
Blade & Soul,18000000,December 2013,Subscription [i],2012-06-30,NCSoft,[63]
Payday 2,18000000,July 2018,Pay-to-play,2013-08-13,Starbreeze Studios,[4]
Farm Town,17000000,August 2009,Free-to-play,2009-02-01,SlashKey,[64]
The Last of Us Remastered,15900000,December 2018,Pay-to-play,2014-07-29,Sony,[65]
Doom,15000000,2006,Shareware,1993-12-10,id Software,[66]
For Honor,15000000,October 2018,Free-to-play,2017-02-14,Ubisoft,[67]
Trove,15000000,February 2018,Free-to-play,2015-07-09,Trion Worlds,[68]
Puyopuyo!! Quest Arcade,15000000,July 2016,Free-to-play,2013-11-07,Sega,[69]
Lineage II,14000000,June 2007,Subscription,2003-10-01,NCSoft,[70]
Paladins,14000000,July 2018,Free-to-play,2016-09-15,Hi-Rez Studios,[4]
Battlefield 4,13900000,December 2018,Pay-to-play,2013-10-29,Electronic Arts,[65]
The Elder Scrolls Online,13500000,December 2017,Pay-to-play,2014-04-04,Bethesda Softworks,[71]
Dota 2,13000000,September 2016,Free-to-play,2013-07-09,Valve,[72]
osu!,13000000,February 2019,Free-to-play,2007-09-16,ppy,[73]
Call of Duty: Ghosts,12600000,December 2018,Pay-to-play,2013-11-05,Activision,[58]
FIFA 19,12500000,December 2018,Pay-to-play,2018-09-28,EA Sports,[58]
Guild Wars 2,11000000,September 2018,Free-to-play,2012-08-28,NCSoft,[74]
Forza Horizon 3,10000000,September 2018,Pay-to-play,2016-09-27,Microsoft Studios,[75]
Star Wars: The Old Republic,10000000,April 2018,Subscription,2011-12-20,Electronic Arts,[30]
Free Realms,10000000,April 2018,Free-to-play,2009-04-28,Sony Online Entertainment,[30]
H1Z1,10000000,June 2018,Free-to-play,2018-02-28,Daybreak Game Company,[76]
Robocraft,10000000,July 2018,Free-to-play,2017-08-24,Freejam Games,[4]
Ark: Survival Evolved,10000000,November 2017,Pay-to-play,2017-08-29,Studio Wildcard,[77]
